station,date,file_id,file,pod,minutes_on,min_temp,max_temp,minutes_lying,n_clicks,dph,n_encounters,dps,n_trains,remove
1014,2011-08-25,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-26,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-27,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-28,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.8,1.8,0,0,0,0,0,0,FALSE
1014,2011-08-29,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-30,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.8,0,0,0,0,0,0,FALSE
1014,2011-08-31,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.6,0,0,0,0,0,0,FALSE
1014,2011-09-01,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1,0,0,0,0,0,0,FALSE
1014,2011-09-02,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1,0,0,0,0,0,0,FALSE
1014,2011-09-03,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1,0,0,0,0,0,0,FALSE
1014,2011-09-04,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.8,0,0,0,0,0,0,FALSE
1014,2011-09-05,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.8,0,0,0,0,0,0,FALSE
1014,2011-09-06,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.8,0,0,0,0,0,0,FALSE
1014,2011-09-07,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1.8,0,0,0,0,0,0,FALSE
1014,2011-09-08,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2,0,0,0,0,0,0,FALSE
1014,2011-09-09,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1.2,0,0,0,0,0,0,FALSE
1014,2011-09-10,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2.6,0,0,0,0,0,0,FALSE
1014,2011-09-11,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3.8,0,0,0,0,0,0,FALSE
1014,2011-09-12,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3.8,0,0,0,0,0,0,FALSE
1014,2011-09-13,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,3.8,0,0,0,0,0,0,FALSE
1014,2011-09-14,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,4.6,0,0,0,0,0,0,FALSE
